"","movie_title","mcu_phase","release_date","imdb_rating","tomato_meter","audience_score","movie_duration","production_budget_millions","opening_weekend_millions","domestic_box_office_millions","international_box_office_millions","worldwide_box_office_millions"
"1","Iron Man",1,2008-05-02,7.9,94,91,126,186,102.12,318.6,266.27,584.88
"2","The Incredible Hulk",1,2008-06-13,6.6,67,70,112,137.5,55.41,134.81,130.77,265.57
"3","Iron Man 2",1,2010-05-07,6.9,72,71,124,170,128.12,312.43,308.72,621.16
"4","Thor",1,2011-05-06,7,77,76,113,150,65.72,181.03,268.3,449.33
"5","Captain America: The First Avenger",1,2011-07-22,6.9,79,75,124,140,65.06,176.65,193.92,370.57
"6","The Avengers",1,2012-05-04,8,91,91,143,225,207.44,623.36,891.74,1515.1
"7","Iron Man 3",2,2013-05-03,7.1,79,78,130,200,174.14,408.99,805.64,1214.63
"8","Thor: The Dark World",2,2013-11-08,6.7,66,75,111,150,85.74,206.36,438.24,644.6
"9","Captain America: The Winter Soldier",2,2014-04-04,7.7,90,92,135,170,95.02,259.75,454.65,714.4
"10","Guardians of the Galaxy",2,2014-08-01,8,92,92,121,170,94.32,333.71,437.17,770.88
"11","Avengers: Age of Ultron",2,2015-05-01,7.3,76,83,141,365,191.27,459.01,936.31,1395.32
"12","Ant-Man",2,2015-07-17,7.2,83,85,117,130,57.23,180.2,338.66,518.86
"13","Captain America: Civil War",3,2016-05-06,7.8,90,89,146,250,179.14,408.08,743.82,1151.9
"14","Doctor Strange",3,2016-11-04,7.5,89,86,115,165,85.06,232.64,443.7,676.34
"15","Guardians of the Galaxy Vol. 2",3,2017-05-05,7.6,85,87,135,200,146.51,389.81,479.27,869.09
"16","Spider-Man: Homecoming",3,2017-07-07,7.4,92,87,133,175,117.03,334.58,544.27,878.85
"17","Thor: Ragnarok",3,2017-11-03,7.9,93,87,130,180,122.74,315.06,535.42,850.48
"18","Black Panther",3,2018-02-16,7.3,96,79,134,200,202,700.06,634.1,1334.16
"19","Avengers: Infinity War",3,2018-04-27,8.4,85,91,149,300,257.7,678.82,1369.54,2048.36
"20","Ant-Man and the Wasp",3,2018-07-06,7,87,81,118,130,75.81,216.65,406.5,623.14
"21","Captain Marvel",3,2019-03-08,6.7,79,45,124,175,153.43,426.83,702.75,1129.58
"22","Avengers: Endgame",3,2019-04-26,8.4,94,90,181,400,357.12,858.37,1859.13,2717.5
"23","Spider-Man: Far From Home",3,2019-07-02,7.4,90,95,129,160,92.58,391.36,740.94,1132.3
"24","Black Widow",4,2021-07-09,6.6,79,91,133,200,80.37,183.65,196.1,379.75
"25","Shang-Chi and the Legend of the Ten Rings",4,2021-09-03,7.3,91,98,133,150,75.39,224.54,207.68,432.22
"26","Eternals",4,2021-11-05,6.2,47,78,157,200,71.3,164.87,236.86,401.73
"27","Spider-Man: No Way Home",4,2021-12-17,8.2,93,98,148,200,260.14,814.81,1106.4,1921.21
"28","Doctor Strange in the Multiverse of Madness",4,2022-05-06,6.9,73,85,126,200,187.42,411.33,540.89,952.22
"29","Thor: Love and Thunder",4,2022-07-08,6.2,63,76,125,250,144.17,343.26,417.67,760.93
"30","Black Panther: Wakanda Forever",4,2022-11-11,6.6,84,93,161,250,181.34,453.83,405.38,859.21
"31","Ant-Man and the Wasp: Quantumania",5,2023-02-17,6,46,81,124,200,106.11,214.51,261.57,476.07
"32","Guardians of the Galaxy Vol. 3",5,2023-05-05,7.9,82,94,150,250,118.41,359,486.56,845.56
"33","The Marvels",5,2023-11-10,5.5,62,79,105,270,46.11,84.5,115.21,199.71
"34","Deadpool & Wolverine",5,2024-07-26,7.5,78,94,128,200,211.44,636.75,701.33,1338.07
"35","Captain America: Brave New World",5,2025-02-14,5.7,48,77,118,180,88.84,200.5,213.14,413.64
"36","Thunderbolts*",5,2025-05-02,7.5,88,93,126,180,74.3,189.49,191.87,381.37
